Gene names;WT1 SN F;WT2 SN F;WT3 SN F;HET1 SN F;HET2 SN F;HET3 SN F;MUT1 SN F;MUT2 SN F;MUT3 SN F;WT1 SN M;WT2 SN M;WT3 SN M;HET1 SN M;HET2 SN M;HET3 SN M;MUT1 SN M;MUT2 SN M;MUT3 SN M; T-test Difference HET SN F vs WT SN F;-Log  T-test p-value HET SN F vs WT SN F; T-test q-value HET SN F vs WT SN F; T-test Difference MUT SN F vs WT SN F;-Log  T-test p-value MUT SN F vs WT SN F; T-test q-value MUT SN F vs WT SN F; T-test Difference HET SN M vs WT SN M;-Log  T-test p-value HET SN M vs WT SN M; T-test q-value HET SN M vs WT SN M; T-test Difference MUT SN M vs WT SN M;-Log  T-test p-value MUT SN M vs WT SN M; T-test q-value MUT SN M vs WT SN M; T-test significant;Peptides;Razor + unique peptides;Unique peptides;Sequence coverage [%];Unique + razor sequence coverage [%];Unique sequence coverage [%];Mol. weight [kDa];Q-value;Score;Intensity;MS/MS count;iBAQ;Protein IDs;Majority protein IDs;Protein names
Kpna3;-0,279939651;-0,314919472;-0,08356142;-0,604243279;-0,595523834;-0,700327396;-0,348497868;-0,451756001;-0,285212994;-0,361105919;-0,154181957;-0,243278027;-0,247441292;-0,100364685;-0,210502148;-0,377058029;-0,575332642;-0,257115364;-0,407224655;2,163798372;0,53528;-0,135682106;0,714020144;0,603651955;0,066752593;0,376129974;0,882555305;-0,150313377;0,610512738;0,966479409;;4;3;3;13,4;11,7;11,7;57,772;0;31,259;323850000;5;19050000;O35344;O35344;Importin subunit alpha-4
Srgap2;2,246261597;2,247530937;2,326153278;2,440991402;2,419625282;2,401406765;2,408067226;2,34781599;2,296741009;2,40363884;2,178063869;2,510344028;2,166091919;2,377005577;2,214346409;2,313339233;2,338433266;2,140172958;0,147359212;2,161465192;0,864384439;0,077559471;0,866678957;0,715658272;-0,111534278;0,40446409;0,838433221;-0,10003376;0,359054275;0,964907918;;16;16;15;20,8;20,8;19,7;120,8;0;33,326;1365300000;18;27306000;"Q91Z67;A0A087WNM1;A0A087WSQ1;A0A087WS59;A0A087WRV4;A0A087WNR5;A0A087WS73";"Q91Z67;A0A087WNM1;A0A087WSQ1";SLIT-ROBO Rho GTPase-activating protein 2
Rtn1;0,036108971;-0,24244976;-0,168591022;0,425397873;0,44656086;0,731482029;0,221970081;0,231688023;0,421747684;0,15239048;0,336434841;-0,234632015;0,250614166;-0,18280983;-0,101944447;0,295654297;0,40803051;0,186493874;0,659457525;2,157754598;0,521333333;0,4167792;1,771775521;0,305495935;-0,096111139;0,169186141;0,904073394;0,211995125;0,516762787;0,963957944;;6;2;2;31,2;9,1;9,1;23,557;0;4,3296;1831600000;5;183160000;"Q7M6W1;A3QM89";"Q7M6W1;A3QM89";Reticulon
Rpsa;1,643843651;1,655135155;1,680590153;1,450818062;1,542877197;1,525053501;1,497348309;1,711706638;1,577803135;1,439062119;1,461359501;1,755996227;1,528036118;1,647894859;1,512316227;1,558668137;1,57657814;1,576593399;-0,153606733;2,151250652;0,863323383;-0,064236959;0,433391611;0,804484015;0,010609786;0,032319787;0,986018863;0,018473943;0,062742624;0,991491598;;9;9;9;51,9;51,9;51,9;32,838;0;84,059;2527700000;17;194440000;"P14206;A0A1L1SRW0;A0A1L1SUK3";"P14206;A0A1L1SRW0";40S ribosomal protein SA
Slc9a3r1;2,667320251;2,605387688;2,71257925;2,840432167;2,89492321;2,960750103;2,974130154;2,989223957;2,997249126;3,009428978;2,883779049;2,656031132;2,952833176;2,881849289;2,829242229;2,921639442;2,815302849;2,811146736;0,23693943;2,150021043;0,807818182;0,325105349;3,287514325;0,325904762;0,038228512;0,128139398;0,94440789;-0,000383377;0,001141221;0,998649351;;13;13;13;48,2;48,2;48,2;38,6;0;50,929;5278900000;22;251380000;P70441;P70441;Na(+)/H(+) exchange regulatory cofactor NHE-RF1
Icam5;3,307208061;3,332087517;3,372330189;3,568904877;3,507847786;3,658791065;3,534099102;3,646049023;3,614739895;3,603520393;3,518751621;3,535965443;3,500063896;3,441243172;3,466260433;3,612656593;3,463058472;3,305170059;0,241305987;2,141316974;0,805675676;0,261087418;2,613268435;0,334666667;-0,083556652;1,265604629;0,808726496;-0,092450778;0,427156867;0,958505148;;21;21;21;32,2;32,2;32,2;96,944;0;184,99;14992000000;56;365650000;Q60625;Q60625;Intercellular adhesion molecule 5
Stam;1,695284843;1,662796021;1,714148998;1,772292137;1,775817871;1,76023531;1,861014843;1,792457104;1,940401554;1,904683113;1,722662449;1,828579426;1,843517303;1,53748703;1,771810055;1,90837574;1,881067276;1,817646027;0,078705152;2,127375988;0,904749591;0,173881213;1,733182451;0,405058824;-0,101036867;0,402127451;0,84637581;0,050388018;0,353758498;0,970844288;;13;13;12;37,6;37,6;35,8;59,771;0;62,307;1792900000;18;89647000;"P70297;Q3UGN9;A2ARJ0;A0A0A6YVP6";"P70297;Q3UGN9";Signal transducing adapter molecule 1
Hapln4;0,416707993;0,558696747;0,586649418;0,944367409;0,848962784;0,795052052;0,662663937;0,810240269;0,929852009;0,832594872;0,724512577;0,708292484;0,755132675;0,681362152;0,453927517;0,776560783;0,790664673;0,657835007;0,342109362;2,126790585;0,630794521;0,280234019;1,397609285;0,343055188;-0,12499253;0,562205403;0,815580282;-0,01344649;0,082848202;0,989837969;;5;5;5;18,2;18,2;18,2;42,808;0;35,237;772950000;11;32206000;Q80WM4;Q80WM4;Hyaluronan and proteoglycan link protein 4
;0,145704269;0,168448448;0,176073551;0,241758347;0,30782032;0,26245451;0,201856136;0,393584728;0,308226109;0,17833519;0,153148174;0,501121998;0,315833092;0,280650139;0,258873463;0,195775986;0,264108658;0,387447357;0,107268969;2,11962777;0,89398212;0,137813568;1,15311221;0,520422558;0,007583777;0,022356849;0,991637591;0,00490888;0,012949433;0,994264527;;5;5;5;28,3;28,3;28,3;28,152;0;13,916;322290000;7;20143000;Q9CQE8;Q9CQE8;UPF0568 protein C14orf166 homolog
Tmem30a;1,329053879;1,45198822;1,338895321;1,847514153;1,66586113;1,940580845;1,719156742;1,420738697;1,830349445;1,858379364;1,665077686;1,396968365;1,604714394;1,502503395;1,526764393;2,08438015;1,770951271;1,52375412;0,444672902;2,110753171;0,53255814;0,283435822;1,035954278;0,389474962;-0,095481078;0,279806123;0,876181139;0,152886709;0,294627661;0,965972431;;10;10;9;33,8;33,8;27,5;41,06;0;26,219;1978600000;10;123660000;"Q8VEK0;D3YVV1";"Q8VEK0;D3YVV1";Cell cycle control protein 50A
Pcbp2;0,735589027;0,724492073;0,806404591;0,320745468;0,474567413;0,516040325;0,306166172;0,524637699;0,568882465;0,596792221;0,538313389;0,697505474;0,425544739;0,774120331;0,43336153;0,489313126;0,323466301;0,539235115;-0,318377495;2,100821077;0,648351648;-0,288933118;1,561249119;0,353329377;-0,066528161;0,207650572;0,91006793;-0,160198847;0,93522584;0,985946667;;10;6;6;45,3;32,3;32,3;38,221;0;21,334;1056900000;8;62172000;"Q61990;B2M1R7;A0A2R8VHP9;A0A2R8VI71;Q3TT81;A0A2R8VI25;A0A2R8VI12;A0A2R8W6L5;A0A2R8VHN3;A0A2R8VHG2;A0A2R8VI73;A0A2R8VKN0;A0A2R8VHY9;A0A2R8VHZ0;A0A2R8VKF0;A0A2R8VJY1;A0A2R8VHL8;A0A2R8W6U6;P57722;A0A2R8VHI3;E9Q7D8;A0A2R8VI15;A0A2R8W6H3;A0A2R8VI92;A0A087WR61;P57724;A0A087WRH3;A0A1L1SRP9;A0A1L1SUS5;A0A087WSI1;A0A1L1SQ99;A0A0R4J044";"Q61990;B2M1R7;A0A2R8VHP9;A0A2R8VI71;Q3TT81;A0A2R8VI25;A0A2R8VI12;A0A2R8W6L5;A0A2R8VHN3;A0A2R8VHG2;A0A2R8VI73;A0A2R8VKN0;A0A2R8VHY9;A0A2R8VHZ0;A0A2R8VKF0;A0A2R8VJY1;A0A2R8VHL8;A0A2R8W6U6";Poly(rC)-binding protein 2
Ntng2;-0,879676819;-0,793633461;-0,930820942;-0,656234741;-0,613939285;-0,682993412;-0,763000965;-0,461240292;-0,915652752;-0,609931946;-0,852358341;-0,565820217;-0,922199249;-0,786137581;-0,840945721;-0,64274025;-0,577392578;-0,893159866;0,216987928;2,077102417;0,801619512;0,154745738;0,482614926;0,650107865;-0,173724016;0,826183641;0,750142357;-0,028394063;0,076151924;0,993188322;;2;2;2;6;6;6;60,088;0;4,3155;126410000;2;4359000;"J3QNA0;Q8R4F1;V9GX85;A2AKX2";"J3QNA0;Q8R4F1;V9GX85;A2AKX2";Netrin-G2
Nrbp1;-2,023983955;-1,758166313;-2,143043995;-2,657538414;-2,719044685;-2,483062267;-2,080329418;-2,697898388;-2,629140377;-2,466604233;-2,119285107;-2,321284771;-2,323549271;-2,154700279;-2,536663532;-2,632318497;-3,064048767;-2,590490341;-0,644817034;2,067676352;0,488952381;-0,494057973;1,025880316;0,346318538;-0,035912991;0,085136875;0,953942241;-0,459894498;1,189154247;1;;1;1;1;2,1;2,1;2,1;59,865;0,00028241;2,4423;26002000;1;1529500;"Q99J45;D3YUV1";"Q99J45;D3YUV1";Nuclear receptor-binding protein
Dnajc7;-1,945286751;-2,093398094;-1,943777561;-1,71521759;-1,774261475;-1,685492992;-1,470814228;-1,978079319;-2,039566517;-1,831367493;-1,569409847;-1,614608288;-1,424910545;-1,807074547;-1,51824522;-1,828910828;-1,572390556;-2,036258698;0,26916345;2,06342098;0,750362205;0,164667447;0,368459343;0,698684426;0,088385105;0,248948795;0,884876592;-0,140724818;0,377009649;0,966036984;;1;1;1;2,8;2,8;2,8;56,475;0;3,0274;60100000;1;1938700;"Q9QYI3;A0A6I8MWW0;A0A6I8MWY7;A0A6I8MWZ1;A2A5E1;A0A6I8MX00;A0A6I8MWX8";"Q9QYI3;A0A6I8MWW0;A0A6I8MWY7;A0A6I8MWZ1;A2A5E1;A0A6I8MX00;A0A6I8MWX8";DnaJ homolog subfamily C member 7
Cars2;-4,079677582;-4,552544594;-4,436504841;-3,696082115;-3,676997185;-3,55807066;-3,185913563;-3,611484051;-3,482597828;-3,8278265;-3,222662449;-3,573850155;-3,825741768;-3,312316895;-3,669275761;-3,815815926;-3,795642853;-4,198446274;0,712525686;2,060560718;0,489411765;0,929577192;2,091793206;0,362666667;-0,06099844;0,093844036;0,942700569;-0,395188649;0,837311496;0,99046875;;1;1;1;2,5;2,5;2,5;61,271;0;4,9296;37663000;1;1506500;"Q8BYM8;G3X975";"Q8BYM8;G3X975";Probable cysteine--tRNA ligase, mitochondrial
Rasal1;2,670230865;2,741452217;2,765361309;2,93361187;2,863832474;2,96252203;2,912307262;2,840912342;2,936105251;2,95915699;2,907621861;2,754650593;2,700478554;2,633248329;2,749596119;2,799651146;2,884034157;2,800616264;0,194307327;2,046712669;0,818763359;0,170760155;1,871724182;0,397329463;-0,179368814;1,203281929;0,724935875;-0,045709292;0,271393789;0,979552459;;21;21;21;41,3;41,3;41,3;89,394;0;105,14;2410500000;26;58792000;"Q9Z268;D3Z7V8";Q9Z268;RasGAP-activating-like protein 1
Ap2m1;4,019537926;4,050726891;4,034554005;4,31529808;4,16458416;4,269331455;4,24349165;4,163800716;4,077117443;4,187094688;4,116541386;4,126528263;4,040385246;4,030970573;4,12245512;4,152855873;4,160381317;4,096920967;0,214798292;2,037929355;0,803013953;0,126530329;1,216305795;0,537347432;-0,078784466;1,013887721;0,836105196;-0,006668727;0,078960532;0,988881103;;19;19;19;51,7;51,7;51,7;49,654;0;117,39;27603000000;56;1061600000;"P84091;Q3TWV4;A0A338P6T4;A0A338P798";"P84091;Q3TWV4";AP-2 complex subunit mu
Cbr3;-0,191998482;-0,038215637;-0,123816013;0,352777481;0,130667686;0,312206745;0,195299625;0,04157877;0,207269192;0,234117508;-0,054974079;-0,112317562;-0,364686966;-0,140464783;0,075200558;0,191025734;0,127210617;-0,249099731;0,383227348;2,031824719;0,604190476;0,26605924;1,730148578;0,358564417;-0,165592353;0,425438826;0,819752434;0,000770251;0,001442544;0,99847521;;7;6;6;32,1;29,2;29,2;30,953;0;21,914;643710000;8;42914000;"Q8K354;A0A338P797";Q8K354;Carbonyl reductase [NADPH] 3
Qil1;1,380924225;1,304390907;1,420047283;1,706865311;1,632309914;1,552556515;1,598429203;1,656755924;1,695309162;1,717103004;1,65007925;1,310080051;1,646238327;1,28970623;1,517290592;1,715937614;1,591109276;1,720607758;0,262123108;2,024297101;0,769101449;0,281710625;2,510394603;0,322704225;-0,074675719;0,172887952;0,914700193;0,116797447;0,367285356;0,959491418;;3;3;3;41,2;41,2;41,2;13,373;0;12,682;3157500000;13;1052500000;Q8R404;Q8R404;Protein QIL1
Chl1;1,619739532;1,554893494;1,515632153;1,775314331;1,71485424;1,830471516;1,738003254;1,734134197;1,846399784;1,923688889;1,637840748;1,681738377;1,53810215;1,690227509;1,608733654;1,756873131;1,564171791;1,636146545;0,210124969;2,017128782;0,810185022;0,209424019;1,928945128;0,346087683;-0,135401567;0,612960085;0,803887938;-0,095358849;0,381103769;0,967261357;;14;14;14;18,4;18,4;18,4;135,07;0;45,794;1169600000;17;20886000;"P70232;A0A0N4SUM4;A0A0N4SUL1";P70232;"Neural cell adhesion molecule L1-like protein;Processed neural cell adhesion molecule L1-like protein"
Gnb1;4,675164223;4,682326317;4,537516117;4,887046814;4,832945824;4,923998356;4,898988247;4,920989513;4,862590313;4,858019829;4,809467793;4,776974201;4,637928963;4,651627541;4,695434093;4,835331917;4,869390488;4,803484917;0,249661446;2,005383985;0,807421053;0,262520472;2,197744094;0,352962963;-0,153157075;2,197005551;0,678705357;0,0212485;0,282768341;0,991626539;;16;16;8;69,4;69,4;37,1;37,377;0;298,78;73738000000;125;5672200000;"P62874;H3BKR2;H3BLF7;Q61011";"P62874;H3BKR2;H3BLF7";Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1
Map2k4;1,852609634;1,848431587;1,863468647;1,984829903;1,97108078;1,914153576;2,001552105;1,848650455;2,034454823;1,94889164;1,873566151;1,810438633;1,995727539;1,802139282;1,839828014;2,207061768;1,998194695;1,899346352;0,101851463;2,001922361;0,895034483;0,106715838;0,864442689;0,633265138;0,001599471;0,007347119;0,999326027;0,157235463;0,726024157;0,978418485;;10;10;10;36,8;36,8;36,8;44,113;0;55,123;2006300000;16;87229000;"P47809;B1ATL6;M0QW52;A0A2I3BQK8;M0QWR0;M0QWG5";"P47809;B1ATL6";Dual specificity mitogen-activated protein kinase kinase 4
Nup62;-1,788855553;-2,178840637;-1,776222706;-3,710352898;-2,848312378;-3,132480145;-2,841077328;-2,609785557;-2,786936283;-2,722837448;-4,002377033;-2,250570774;-3,15351963;-2,225026131;-2,582709789;-2,412748337;-2,424902916;-2,275489807;-1,315742175;1,998913436;0,294666667;-0,831293424;2,290870852;0,340571429;0,338176568;0,224304226;0,84764247;0,620881399;0,518794375;0,991253219;;2;2;2;5,1;5,1;5,1;53,254;0;6,6526;75012000;3;7501200;Q63850;Q63850;Nuclear pore glycoprotein p62
Mdh1;3,839577675;3,917700768;3,811653614;4,14160347;4,01416111;4,139439106;4,124427319;4,046597958;4,144164562;4,116192818;4,107532978;3,756399632;3,953677177;3,660515785;4,000844479;4,053853035;4,03335762;4,195351601;0,242090543;1,995432128;0,802586826;0,248752594;2,333889666;0,339982609;-0,121695995;0,312031527;0,851825182;0,100812276;0,320427221;0,966106205;;14;14;14;42,8;42,8;42,8;36,511;0;73,348;52362000000;55;3740200000;"P14152;A0A5F8MPN8;B1ATQ3";"P14152;A0A5F8MPN8";Malate dehydrogenase, cytoplasmic
Itgb8;1,440502167;1,366527557;1,345105648;1,680150986;1,586872101;1,549371243;1,618446827;1,670575619;1,494508266;1,662753105;1,685816288;1,687388897;1,459536552;1,565977097;1,485438824;1,751057625;1,62678051;1,263134003;0,221419652;1,989036264;0,802192308;0,210465113;1,614302134;0,370273684;-0,175001939;2,215450361;0,698649682;-0,131662051;0,376824618;0,964342936;;8;8;8;15;15;15;84,518;0;29,65;584440000;14;14986000;Q0VBD0;Q0VBD0;Integrin beta
Psmb3;1,550961494;1,477421761;1,466962337;1,65791893;1,609026909;1,637060642;1,56841135;1,671657085;1,525183201;1,548416138;1,581905842;1,646392345;1,552970886;1,514735222;1,583761692;1,509433746;1,593909264;1,670526505;0,136220296;1,979860875;0,879815498;0,089968681;0,819275765;0,68824127;-0,041748842;0,524480943;0,901146976;-0,00094827;0,005684431;0,99701087;;6;6;6;40,5;40,5;40,5;22,965;0;21,111;960010000;10;106670000;Q9R1P1;Q9R1P1;Proteasome subunit beta type-3
Rab15;0,517421722;0,515091896;0,660428524;0,802829742;0,856390953;0,769503117;0,703987598;0,904708385;0,81584692;0,770267487;0,758591175;0,797477245;0,734002113;0,806416512;0,708306789;0,679564476;0,64597702;0,779354095;0,245260557;1,970742383;0,802254545;0,24386692;1,497321276;0,353480885;-0,025870164;0,338856126;0,940065462;-0,073813438;0,820325591;0,960637874;;5;4;4;37,3;32,1;32,1;24,332;0;23,882;518210000;6;39862000;"Q3TYH2;Q8K386;D3YTZ8;D3YWS1;D3Z1A7;D3YYX5";"Q3TYH2;Q8K386;D3YTZ8;D3YWS1;D3Z1A7";Ras-related protein Rab-15
Cpe;2,555538177;2,389011383;2,489509106;2,75549221;2,742160797;2,910254002;2,883262157;2,673122883;2,922496319;2,94038868;2,849395275;2,663767338;2,739683151;2,632427216;2,615633488;2,82644558;2,777067184;2,822005272;0,324616114;1,958457407;0,660323232;0,348274231;1,724179253;0,351462366;-0,155269146;0,795147452;0,756704453;-0,009344419;0,038249571;0,989170256;;16;16;16;45,4;45,4;45,4;53,255;0;86,559;6115700000;25;254820000;Q00493;Q00493;Carboxypeptidase E
Nhp2;-1,430915833;-1,522174835;-1,509865284;-1,195204735;-1,334746361;-1,188037395;-1,271709919;-1,650194645;-1,596255779;-1,126471519;-1,41548872;-1,205050945;-1,360596657;-1,045581818;-1,009730816;-1,685925484;-1,661370277;-1,260876656;0,248322487;1,952867369;0,8173;-0,018401464;0,05205103;0,961656812;0,110367298;0,321132839;0,860172219;-0,287053744;0,81765808;0,966150538;;2;2;2;18,3;18,3;18,3;17,247;0;6,7384;110430000;2;18405000;Q9CRB2;Q9CRB2;H/ACA ribonucleoprotein complex subunit 2
Rpl35a;-0,051697731;-0,105175972;0,069468021;-0,25002861;-0,305850983;-0,378261089;-0,285009861;0,075097561;-0,288940907;-0,229009628;-0,312615871;-0,217616558;-0,315765381;0,13106823;-0,265386105;-0,172537804;-0,149171829;0,024022102;-0,282245;1,944523771;0,75631746;-0,137149175;0,449575971;0,691337553;0,103052934;0,288219932;0,872823927;0,153851509;1,049872382;0,97297561;;2;2;2;14,5;14,5;14,5;12,554;0;4,0942;368470000;5;52639000;O55142;O55142;60S ribosomal protein L35a
Ap2s1;-1,003082275;-1,167976379;-1,076058865;-0,437467575;-0,782914162;-0,520000935;-0,723879337;-0,64726305;-0,974122524;-1,027159691;-0,64551878;-0,826915264;-1,569174767;-0,883813858;-0,83550787;-0,877177238;-0,800467491;-0,942577362;0,502244949;1,926763658;0,520454545;0,300617536;1,285854078;0,346336207;-0,262967587;0,430432674;0,787356596;-0,040209452;0,125137279;0,99275595;;4;4;4;31;31;31;17,018;0;11,487;1574500000;8;262410000;"P62743;A0A0U1RQ06;A0A0U1RPS0";"P62743;A0A0U1RQ06";AP-2 complex subunit sigma
Rtn3;3,738022804;3,68808651;3,7098279;3,79882431;3,784070015;3,838512897;3,713216305;3,715474606;3,761611462;3,870560646;3,767782688;3,725033283;3,628248215;3,761357307;3,714303493;3,762488365;3,751590729;3,691775322;0,09515667;1,923414022;0,903687243;0,018121719;0,351997833;0,92370043;-0,086489201;0,675185842;0,836376951;-0,052507401;0,469161163;0,96835522;;32;32;32;52,2;52,2;52,2;103,88;0;282,73;11643000000;51;283970000;Q9ES97;Q9ES97;Reticulon-3
"Csnk1e;Csnk1d";0,491205215;0,659928322;0,584833622;0,38841629;0,316053391;0,325316906;0,38939333;0,335120678;0,411971569;0,454260826;0,603736401;0,526880741;0,341398239;0,517168999;0,513280392;0,477874756;0,606063843;0,249053001;-0,235393524;1,922696732;0,811;-0,199827194;1,684797029;0,371959528;-0,071010113;0,418654551;0,876891635;-0,083962123;0,302184855;0,963272171;;7;7;7;18;18;18;47,321;0;8,7956;306110000;8;13914000;"Q9JMK2;Q9DC28;Q3TYE1;Q3USK2;A0A2R8W6S2;F7A4U8;A8Y2Z9;A0A668KLW3;A9J9D8;F6VU53;A0A2R8VI54;A8Y2Z5";"Q9JMK2;Q9DC28;Q3TYE1;Q3USK2;A0A2R8W6S2;F7A4U8";"Casein kinase I isoform epsilon;Casein kinase I isoform delta"
Slc4a10;1,667809486;1,604820251;1,718708515;1,990459442;1,846916199;1,873662472;1,824558735;1,795436382;1,86467886;1,824269295;1,714094639;1,732683659;1,539534569;1,661107063;1,791371822;1,630749702;1,753014565;1,695512772;0,239899953;1,918643258;0,808685083;0,164445241;1,88540079;0,40689863;-0,093011379;0,507035238;0,837367829;-0,063923518;0,580838494;0,963056645;;14;14;11;18,7;18,7;15,1;125,82;0;64,705;2009600000;25;39405000;Q5DTL9;Q5DTL9;Sodium-driven chloride bicarbonate exchanger
Snx12;-0,179904938;-0,426900864;-0,369512081;0,081988335;-0,015508652;0,006121159;-0,00987196;-0,305000782;-0,137219906;0,171471596;-0,071950436;-0,296030521;-0,073264122;-0,471017838;-0,355303288;-0,063142776;-0,249423981;0,116949081;0,349639575;1,917133005;0,650202247;0,174741745;0,702508072;0,553745872;-0,234358629;0,58263771;0,753872611;0,000297228;0,000564895;0,999022438;;7;7;6;57,6;57,6;53,3;19,116;0;25,878;1275900000;12;127590000;"O70493;Q6ZWQ5;Q3TGS7;Q3V2H3";"O70493;Q6ZWQ5;Q3TGS7;Q3V2H3";Sorting nexin-12
Eif3h;-1,637254715;-1,584616661;-1,852230549;-2,28831768;-2,086367607;-2,078909397;-1,819748402;-2,245383739;-2,171787739;-2,044700623;-1,990623951;-1,81882906;-2,881607056;-1,752685547;-1,719824314;-1,92356205;-2,014638901;-2,249125481;-0,45983092;1,900026776;0,533407407;-0,387605985;1,177551882;0,347914894;-0,166654428;0,161394604;0,894396617;-0,111057599;0,396109975;0,958260309;;3;3;3;11,6;11,6;11,6;39,832;0;2,8614;210980000;3;10549000;Q91WK2;Q91WK2;Eukaryotic translation initiation factor 3 subunit H
F3;-0,36213398;-0,541002274;-0,317277431;-0,095959663;-0,135867119;-0,094726086;0,042631626;-0,26635313;-0,158235073;-0,193748474;-0,099421024;-0,336762905;-0,310631752;-0,208866119;-0,422646999;-0,18115139;-0,033782959;-0,144906044;0,297953606;1,890227864;0,749566667;0,279485703;1,1587314;0,37004475;-0,104070822;0,489626692;0,833728453;0,09003067;0,476336328;0,96310804;;2;2;2;11,6;11,6;11,6;32,935;0;13,725;256410000;2;18315000;"P20352;A0A0R4J088;A0A0G2JGS5";"P20352;A0A0R4J088;A0A0G2JGS5";Tissue factor
Fkbp2;1,261920929;1,209975243;1,249661922;1,36184597;1,396489143;1,490043163;1,281268597;1,370539188;1,406499386;1,355817795;1,249334812;1,119875431;1,376101494;1,414745331;1,429677486;1,551994324;1,438468933;1,306969643;0,175606728;1,878901675;0,836112045;0,112249692;1,302136128;0,562316376;0,165165424;1,10857838;0,746798258;0,19080162;0,905618748;0,993768;;5;5;5;57,9;57,9;57,9;15,344;0;33,659;1918500000;12;274070000;P45878;P45878;Peptidyl-prolyl cis-trans isomerase FKBP2
Actr3b;1,795380592;1,733484268;1,794147968;2,189249992;1,958400726;2,19423151;2,056886196;1,878859043;1,995669842;2,122089386;2,078326702;1,966849804;1,960949898;1,857578278;1,927139759;1,935019493;1,995358467;1,932490349;0,339623133;1,871268956;0,666081633;0,202800751;1,649279791;0,373001692;-0,140532653;1,193862366;0,741899139;-0,101465861;0,938199345;0,965029552;;11;9;9;34,9;32,8;32,8;47,579;0;64,202;1934600000;19;96728000;Q641P0;Q641P0;Actin-related protein 3B
Prkca;2,603955269;2,495078087;2,634140491;2,920319557;2,756321907;2,874457836;2,838220119;2,72139883;2,596438885;2,723581314;2,750673771;2,596634388;2,623842239;2,70394516;2,705567837;2,692274094;2,665769577;2,63186264;0,272641818;1,871121055;0,779694444;0,140961329;0,798293935;0,576399457;-0,012511412;0,080912708;0,971114773;-0,026994387;0,206253768;0,991243585;;18;13;13;41,7;29,8;29,8;76,823;0;89,703;5278700000;26;159960000;"Q4VA93;P20444;Q3TQ39";"Q4VA93;P20444";"Protein kinase C;Protein kinase C alpha type"
"Ca4;Car4";0,857048035;0,908581734;0,943687916;1,159436226;1,037840843;1,068136692;1,100691319;0,830438137;0,865289211;1,176867485;0,984342098;0,843672276;0,863801003;0,884634018;1,128689289;1,045250893;1,142260551;0,902289391;0,185365359;1,855676254;0,817793939;0,029033661;0,119539435;0,921582228;-0,04258585;0,120737512;0,943206989;0,028306325;0,084173272;0,991774611;;3;3;3;14,1;14,1;14,1;34,351;0;10,775;567240000;3;35453000;"Q64444;F6ST32";"Q64444;F6ST32";Carbonic anhydrase 4
Cul2;-1,176438332;-1,085584641;-0,963773251;-0,665910721;-0,83642292;-0,738226414;-0,975326061;-1,492805004;-0,737555981;-0,94072628;-1,299914837;-0,958306789;-1,244409561;-0,783885002;-0,686677456;-1,369728088;-0,908454895;-1,108879089;0,328412056;1,848849643;0,684074074;0,006703059;0,009541551;0,991824986;0,161325296;0,317628586;0,837874142;-0,062704722;0,129773065;0,988855623;;6;6;6;9,1;9,1;9,1;86,876;0;14,886;240310000;6;5588600;"Q9D4H8;E0CYT5;H7BX52;A0A3Q4EBZ1";"Q9D4H8;E0CYT5";Cullin-2
Ak4;2,029182434;2,131254196;2,037451267;2,32283783;2,208470345;2,358224392;2,175655842;2,401594639;2,417978764;2,303219795;2,367972851;2,195981503;2,10597229;2,050445557;2,246751308;2,268102646;2,316910744;2,25716877;0,230548223;1,839425824;0,806103286;0,265780449;1,455985695;0,344668113;-0,154668331;0,939454949;0,753145497;-0,008330663;0,053741991;0,98867955;;12;12;12;59,2;59,2;59,2;25,061;0;38,005;7599000000;24;542790000;"Q9WUR9;F6TEU8;A2ARF6;A2ARF5";"Q9WUR9;F6TEU8";Adenylate kinase 4, mitochondrial
